Title,Original,Remake
Halloween,tt0077651,tt1502407
A Nightmare on Elm Street,tt0087800,tt1179056
101 Dalmatians,tt0055254,tt0115433
12 Angry Men,tt0050083,tt0118528
13,tt0475169,tt0798817
3:10 to Yuma,tt0050086,tt0381849
A Christmas Carol,tt0044008,tt1067106
About Last Night,tt0090583,tt1826590
Agneepath,tt0098999,tt1849718
Aladdin,tt0103639,tt6139732
Alfie,tt0060086,tt0375173
All the King's Men,tt0041113,tt0405676
And Soon the Darkness,tt0065398,tt1391034
Angels in the Outfield,tt0043286,tt0109127
Annie,tt0083564,tt1823664
Appleseed,tt0094668,tt0401233
Arthur,tt0082031,tt1334512
Bangkok Dangerous,tt0263101,tt0814022
Beauty and the Beast,tt0101414,tt2771200
Bedazzled,tt0061391,tt0230030
Ben-Hur,tt0052618,tt2638144
Black Christmas,tt0071222,tt0454082
Blood: The Last Vampire,tt0275230,tt0806027
Bodyguard,tt1585558,tt1729637
Brothers,tt0386342,tt0765010
Cape Fear,tt0055824,tt0101540
Carrie,tt0074285,tt1939659
Charlotte's Web,tt0070016,tt0413895
Cheaper by the Dozen,tt0042327,tt0349205
Cinderella,tt0042332,tt1661199
Clash of the Titans,tt0082186,tt0800320
Cleopatra,tt0024991,tt0056937
Conan the Barbarian,tt0082198,tt0816462
Contraband,tt0081081,tt1524137
Dark Water,tt0308379,tt0382628
Dawn of the Dead,tt0077402,tt0363547
Death Wish,tt0071402,tt1137450
Death at a Funeral,tt0795368,tt1321509
Diabolique,tt0046911,tt0116095
Doctor Dolittle,tt0061584,tt0118998
Don,tt0077451,tt0461936
Don't Be Afraid of the Dark,tt0069992,tt1270761
Drishyam,tt3417422,tt4430212
Fame,tt0080716,tt1016075
Fantastic Four,tt0120667,tt1502712
Father of the Bride,tt0042451,tt0101862
Fever Pitch,tt0119114,tt0332047
Flatliners,tt0099582,tt2039338
Footloose,tt0087277,tt1068242
Freaky Friday,tt0076054,tt0322330
Fright Night,tt0089175,tt1438176
Fun with Dick and Jane,tt0076059,tt0369441
Funny Games,tt0119167,tt0808279
Gambit,tt0060445,tt0404978
Get Carter,tt0067128,tt0208988
Ghajini,tt0449951,tt1166100
Ghost in the Shell,tt0113568,tt1219827
Ghostbusters,tt0087332,tt1289401
Going in Style,tt0079219,tt2568862
Gone in 60 Seconds,tt0071571,tt0187078
Hairspray,tt0095270,tt0427327
House of Wax,tt0045888,tt0397065
House on Haunted Hill,tt0051744,tt0185371
I Spit on Your Grave,tt0077713,tt1242432
Insomnia,tt0119375,tt0278504
Invasion of the Body Snatchers,tt0049366,tt0077745
Jack Frost,tt0141109,tt0116671
King Kong,tt0024216,tt0360717
Kiss of Death,tt0039536,tt0113552
Last Holiday,tt0042665,tt0408985
Les Misérables,tt0119683,tt1707386
Loft,tt0926762,tt1606789
Man on Fire,tt0093489,tt0328107
Maniac,tt0081114,tt2103217
Mighty Joe Young,tt0041650,tt0120751
Miracle on 34th Street,tt0039628,tt0110527
Night of the Living Dead,tt0063350,tt0100258
Ocean's Eleven,tt0054135,tt0240772
Oldboy,tt0364569,tt1321511
Oliver Twist,tt0040662,tt0380599
One Missed Call,tt0366292,tt0479968
Oscar,tt0062083,tt0102603
Overboard,tt0093693,tt1563742
Planet of the Apes,tt0063442,tt0133152
Point Break,tt0102685,tt2058673
Poltergeist,tt0084516,tt1029360
Prom Night,tt0081383,tt0926129
Psycho,tt0054215,tt0155975
Pulse,tt0286751,tt0454919
Red Dawn,tt0087985,tt1234719
RoboCop,tt0093870,tt1234721
Rollerball,tt0073631,tt0246894
Sabrina,tt0047437,tt0114319
Scarface,tt0023427,tt0086250
School for Scoundrels,tt0054279,tt0462519
Shaft,tt0067741,tt0162650
Shutter,tt0440803,tt0482599
Singam,tt1655607,tt1948150
Sleuth,tt0069281,tt0857265
Solaris,tt0069293,tt0307479
Straw Dogs,tt0067800,tt0999913
Sweet November,tt0063661,tt0230838
Swept Away,tt0073817,tt0291502
Taxi,tt0152930,tt0316732
Teenage Mutant Ninja Turtles,tt0100758,tt1291150
The Alamo,tt0053580,tt0318974
The Beguiled,tt0066819,tt5592248
The Blue Lagoon,tt0041190,tt0080453
The Day the Earth Stood Still,tt0043456,tt0970416
The Debt,tt0990427,tt1226753
The Experiment,tt0250258,tt0997152
The Girl with the Dragon Tattoo,tt1132620,tt1568346
The Haunting,tt0057129,tt0171363
The Heartbreak Kid,tt0068687,tt0408839
The Hitcher,tt0091209,tt0455960
The Importance of Being Earnest,tt0044744,tt0278500
The Italian Job,tt0064505,tt0317740
The Jungle Book,tt0061852,tt3040964
The Karate Kid,tt0087538,tt1155076
The Ladykillers,tt0048281,tt0335245
The Lion King,tt0110357,tt6105098
The Magnificent Seven,tt0054047,tt2404435
The Manchurian Candidate,tt0056218,tt0368008
The Mummy,tt0120616,tt2345759
The Nutty Professor,tt0057372,tt0117218
The Parent Trap,tt0055277,tt0120783
The Producers,tt0063462,tt0395251
The Stepford Wives,tt0073747,tt0327162
The Texas Chain Saw Massacre,tt0072271,tt0324216
The Wolf Man,tt0034398,tt0780653
Total Recall,tt0100802,tt1386703
Wuthering Heights,tt0032145,tt1181614
Tarzan,tt0120855,tt1705952
Tarzan the Ape Man,tt0023551,tt0083170
The Rocky Horror Picture Show,tt0073629,tt1267299
